order,partitions,mf_type,partitioning,true_backoff,transform,clamp_nonneg,RMSE,MAE,MAPE,mape_coverage,n_eval,n_rules_orderK,hit_rate_exact,hit_rate_any,fallback_rate,backoff_rate
3,30,triangular,equal,True,log1p,True,3700.4063119736857,1699.9976598970904,25.61858405140785,1.0,48,124,0.6458333333333334,1.0,0.0,0.3541666666666667
1,30,triangular,equal,True,log1p,True,3701.470867913406,1955.9464260748643,32.055833711849125,1.0,48,27,1.0,1.0,0.0,0.0
4,30,triangular,equal,True,log1p,True,3712.4522539937243,1727.1627397323737,26.593829569603923,1.0,48,151,0.5416666666666666,1.0,0.0,0.4583333333333333
2,30,triangular,equal,True,log1p,True,3714.0244332924217,1738.502381423724,26.610967185893163,1.0,48,79,0.8541666666666666,1.0,0.0,0.14583333333333334
4,20,triangular,equal,True,log1p,True,4599.178367450371,2091.609952642572,30.361855305276535,1.0,48,120,0.625,1.0,0.0,0.375
3,20,triangular,equal,True,log1p,True,4675.653444586923,2152.587747695199,29.83257051977021,1.0,48,89,0.8541666666666666,1.0,0.0,0.14583333333333334
1,20,triangular,equal,True,log1p,True,4999.56189489655,2456.045306439329,32.16155431723738,1.0,48,17,1.0,1.0,0.0,0.0
2,20,triangular,equal,True,log1p,True,5184.925973185963,2475.8493513786884,32.70058051289364,1.0,48,49,0.9791666666666666,1.0,0.0,0.020833333333333332
4,15,triangular,equal,True,log1p,True,5393.375336598534,2793.0019471827886,34.32523647498258,1.0,48,91,0.7916666666666666,1.0,0.0,0.20833333333333334
3,15,triangular,equal,True,log1p,True,5562.66155124496,2713.3686828965483,33.67480580249182,1.0,48,64,0.9375,1.0,0.0,0.0625
2,15,triangular,equal,True,log1p,True,5755.485343858725,2872.453458957512,34.11778601005726,1.0,48,34,0.9791666666666666,1.0,0.0,0.020833333333333332
1,15,triangular,equal,True,log1p,True,5872.679785212996,3009.079663093107,35.209334777691865,1.0,48,13,1.0,1.0,0.0,0.0
1,10,triangular,equal,True,log1p,True,6598.361696566152,2938.496256323318,37.336040957535246,1.0,48,10,1.0,1.0,0.0,0.0
4,10,triangular,equal,True,log1p,True,7131.967120853299,3241.772677122022,41.14966655610222,1.0,48,64,0.9583333333333334,1.0,0.0,0.041666666666666664
1,7,triangular,equal,True,log1p,True,7295.684293464227,3585.6301133575785,55.32024433864571,1.0,48,7,1.0,1.0,0.0,0.0
2,10,triangular,equal,True,log1p,True,7633.605299498506,3540.1495292093664,38.96879273911264,1.0,48,25,0.9791666666666666,1.0,0.0,0.020833333333333332
3,10,triangular,equal,True,log1p,True,7670.30522971641,3360.697583116506,38.280068845674904,1.0,48,42,0.9791666666666666,1.0,0.0,0.020833333333333332
2,7,triangular,equal,True,log1p,True,7844.388567832627,3887.0804567587807,75.34947842627547,1.0,48,18,1.0,1.0,0.0,0.0
3,7,triangular,equal,True,log1p,True,8402.162583685882,4013.7217170131553,72.95560059968244,1.0,48,29,0.9375,1.0,0.0,0.0625
4,7,triangular,equal,True,log1p,True,10079.946862774166,5067.482982447232,78.03327704063463,1.0,48,41,0.9375,1.0,0.0,0.0625
